Time_index,Time,Strain
20110113040000,2011-01-13 04:00:00,8
20110114040000,2011-01-14 04:00:00,3
20110115040000,2011-01-15 04:00:00,8
20110116040000,2011-01-16 04:00:00,19
20110117040000,2011-01-17 04:00:00,14
20110118040000,2011-01-18 04:00:00,24
20110119040000,2011-01-19 04:00:00,2
20110120040000,2011-01-20 04:00:00,
20110121040000,2011-01-21 04:00:00,-14
20110122040000,2011-01-22 04:00:00,0
20110123040000,2011-01-23 04:00:00,7
20110124040000,2011-01-24 04:00:00,7
20110125040000,2011-01-25 04:00:00,11
20110126040000,2011-01-26 04:00:00,23
20110127040000,2011-01-27 04:00:00,-18
20110128040000,2011-01-28 04:00:00,
20110129040000,2011-01-29 04:00:00,-3
20110130040000,2011-01-30 04:00:00,12
20110131040000,2011-01-31 04:00:00,8
20110201040000,2011-02-01 04:00:00,11
20110202040000,2011-02-02 04:00:00,8
20110203040000,2011-02-03 04:00:00,-4
20110204040000,2011-02-04 04:00:00,15
20110205040000,2011-02-05 04:00:00,1
20110206040000,2011-02-06 04:00:00,13
20110207040000,2011-02-07 04:00:00,10
20110208040000,2011-02-08 04:00:00,26
20110209040000,2011-02-09 04:00:00,17
20110210040000,2011-02-10 04:00:00,9
20110211040000,2011-02-11 04:00:00,18
20110212040000,2011-02-12 04:00:00,-38
20110213040000,2011-02-13 04:00:00,-32
20110214040000,2011-02-14 04:00:00,12
20110215040000,2011-02-15 04:00:00,7
20110216040000,2011-02-16 04:00:00,3
20110217040000,2011-02-17 04:00:00,7
20110218040000,2011-02-18 04:00:00,6
20110219040000,2011-02-19 04:00:00,-2
20110220040000,2011-02-20 04:00:00,-22
20110221040000,2011-02-21 04:00:00,-16
20110222040000,2011-02-22 04:00:00,-1
20110223040000,2011-02-23 04:00:00,-3
20110224040000,2011-02-24 04:00:00,-17
20110225040000,2011-02-25 04:00:00,-4
20110226040000,2011-02-26 04:00:00,4
20110227040000,2011-02-27 04:00:00,14
20110228040000,2011-02-28 04:00:00,9
20110301040000,2011-03-01 04:00:00,12
20110302040000,2011-03-02 04:00:00,8
20110303040000,2011-03-03 04:00:00,3
20110304040000,2011-03-04 04:00:00,18
20110305040000,2011-03-05 04:00:00,7
20110306040000,2011-03-06 04:00:00,-13
20110307040000,2011-03-07 04:00:00,1
20110308040000,2011-03-08 04:00:00,6
20110309040000,2011-03-09 04:00:00,7
20110310040000,2011-03-10 04:00:00,17
20110311040000,2011-03-11 04:00:00,20
20110312040000,2011-03-12 04:00:00,13
20110313040000,2011-03-13 04:00:00,1
20110314040000,2011-03-14 04:00:00,4
20110315040000,2011-03-15 04:00:00,10
20110316040000,2011-03-16 04:00:00,7
20110317040000,2011-03-17 04:00:00,-6
20110318040000,2011-03-18 04:00:00,4
20110319040000,2011-03-19 04:00:00,11
20110320040000,2011-03-20 04:00:00,-5
20110321040000,2011-03-21 04:00:00,13
20110322040000,2011-03-22 04:00:00,10
20110323040000,2011-03-23 04:00:00,4
20110324040000,2011-03-24 04:00:00,12
20110325040000,2011-03-25 04:00:00,8
20110326040000,2011-03-26 04:00:00,-27
20110327040000,2011-03-27 04:00:00,2
