Time_index,Time,Strain,Temperature
20090728040000,2009-07-28 04:00:00,,
20090728080000,2009-07-28 08:00:00,,
20090728120000,2009-07-28 12:00:00,,
20090728160000,2009-07-28 16:00:00,,
20090728200000,2009-07-28 20:00:00,,
20090729000000,2009-07-29 00:00:00,,
20090729040000,2009-07-29 04:00:00,,
20090729080000,2009-07-29 08:00:00,,
20090729120000,2009-07-29 12:00:00,,
20090729160000,2009-07-29 16:00:00,,
20090729200000,2009-07-29 20:00:00,,
20090730000000,2009-07-30 00:00:00,,
20090730040000,2009-07-30 04:00:00,,
20090730080000,2009-07-30 08:00:00,,
20090730120000,2009-07-30 12:00:00,,
20090730160000,2009-07-30 16:00:00,,
20090730200000,2009-07-30 20:00:00,,
20090731000000,2009-07-31 00:00:00,,
20090731040000,2009-07-31 04:00:00,,
20090731080000,2009-07-31 08:00:00,,
20090731120000,2009-07-31 12:00:00,,
20090731160000,2009-07-31 16:00:00,,
20090731200000,2009-07-31 20:00:00,,
20090801000000,2009-08-01 00:00:00,,
20090801040000,2009-08-01 04:00:00,,
20090801080000,2009-08-01 08:00:00,,
20090801120000,2009-08-01 12:00:00,,
20090801160000,2009-08-01 16:00:00,,
20090801200000,2009-08-01 20:00:00,,
20090802000000,2009-08-02 00:00:00,,
20090802040000,2009-08-02 04:00:00,,
20090802080000,2009-08-02 08:00:00,,
20090802120000,2009-08-02 12:00:00,,
20090802160000,2009-08-02 16:00:00,,
20090802200000,2009-08-02 20:00:00,,
20090803000000,2009-08-03 00:00:00,,
20090803040000,2009-08-03 04:00:00,,
20090803080000,2009-08-03 08:00:00,,
20090803120000,2009-08-03 12:00:00,,
20090803160000,2009-08-03 16:00:00,,
20090803200000,2009-08-03 20:00:00,,
20090804000000,2009-08-04 00:00:00,,
20090804040000,2009-08-04 04:00:00,,
20090804080000,2009-08-04 08:00:00,,
20090804120000,2009-08-04 12:00:00,,
20090804160000,2009-08-04 16:00:00,,
20090804200000,2009-08-04 20:00:00,,
20090805000000,2009-08-05 00:00:00,,
20090805040000,2009-08-05 04:00:00,,
20090805080000,2009-08-05 08:00:00,,
20090805120000,2009-08-05 12:00:00,,
20090805160000,2009-08-05 16:00:00,,
20090805200000,2009-08-05 20:00:00,,
20090806000000,2009-08-06 00:00:00,,
20090806040000,2009-08-06 04:00:00,,
20090806080000,2009-08-06 08:00:00,,
20090806120000,2009-08-06 12:00:00,,
20090806160000,2009-08-06 16:00:00,,
20090806200000,2009-08-06 20:00:00,,
20090807000000,2009-08-07 00:00:00,,
20090807040000,2009-08-07 04:00:00,,
20090807080000,2009-08-07 08:00:00,,
20090807120000,2009-08-07 12:00:00,,
20090807160000,2009-08-07 16:00:00,,
20090807200000,2009-08-07 20:00:00,,
20090808000000,2009-08-08 00:00:00,,
20090808040000,2009-08-08 04:00:00,,
20090808080000,2009-08-08 08:00:00,,
20090808120000,2009-08-08 12:00:00,,
20090808160000,2009-08-08 16:00:00,,
20090808200000,2009-08-08 20:00:00,,
20090809000000,2009-08-09 00:00:00,,
20090809040000,2009-08-09 04:00:00,,
20090809080000,2009-08-09 08:00:00,,
20090809120000,2009-08-09 12:00:00,,
20090809160000,2009-08-09 16:00:00,,
20090809200000,2009-08-09 20:00:00,,
20090810000000,2009-08-10 00:00:00,,
20090810040000,2009-08-10 04:00:00,,
20090810080000,2009-08-10 08:00:00,,
20090810120000,2009-08-10 12:00:00,,
20090810160000,2009-08-10 16:00:00,,
20090810200000,2009-08-10 20:00:00,,
20090811000000,2009-08-11 00:00:00,,
20090811040000,2009-08-11 04:00:00,,
20090811080000,2009-08-11 08:00:00,,
20090811120000,2009-08-11 12:00:00,,
20090811160000,2009-08-11 16:00:00,,
20090811200000,2009-08-11 20:00:00,,
20090812000000,2009-08-12 00:00:00,,
20090812040000,2009-08-12 04:00:00,,
20090812080000,2009-08-12 08:00:00,,
20090812120000,2009-08-12 12:00:00,,
20090812160000,2009-08-12 16:00:00,,
20090812200000,2009-08-12 20:00:00,,
20090813000000,2009-08-13 00:00:00,,
20090813040000,2009-08-13 04:00:00,,
20090813080000,2009-08-13 08:00:00,,
20090813120000,2009-08-13 12:00:00,,
20090813160000,2009-08-13 16:00:00,,
